City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Invermere,78.51,overcast clouds,50.5167,-116.0354,Copper Point Resort
457,Pecos,78.3,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos
459,San Cristobal,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
460,Intipuca,84.15,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
461,Qianguo,68.74,light rain,45.1171,124.8568,Guo'er Luosi Hotel
462,Namatanai,82.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
465,Gambo,67.44,overcast clouds,4.6482,22.2633,
466,Boyolangu,80.24,broken clouds,-8.1181,111.8935,Yos ega cv
467,Balkhash,84.81,clear sky,46.844,74.9804,Family
468,San Felipe,72.37,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
469,Tabou,76.06,overcast clouds,4.423,-7.3528,hotêl doufoulougou
471,Biltine,74.43,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
474,Tarrafal,75.99,overcast clouds,15.2833,-23.7667,Hotel Ixola
476,Houston,86.38,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
477,Praia,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
479,Alofi,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
480,Nkhata Bay,65.07,clear sky,-11.6066,34.2907,Mayoka Village
481,Kaili,73.44,overcast clouds,-3.4626,120.2147,
482,Pitimbu,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
484,Ambilobe,69.64,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
486,Yokadouma,67.24,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
487,Vostok,85.28,broken clouds,46.4856,135.8833,
488,Afogados Da Ingazeira,65.21,broken clouds,-7.7508,-37.6392,Hotel Brotas
489,Canto Do Buriti,70.86,overcast clouds,-8.11,-42.9444,Novo Hotel
490,Bredy,79.23,scattered clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
491,Port Macquarie,66.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
492,Netanya,75.22,clear sky,32.3329,34.8599,King Koresh Hotel
494,Norman Wells,84.24,smoke,65.282,-126.8329,Heritage Hotel
495,Vilyuysk,85.21,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
496,Touros,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
498,Tateyama,89.62,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
501,Canutama,72.52,clear sky,-6.5339,-64.3831,Hotel Jhennifer
504,Tahta,84.52,clear sky,26.7693,31.5021,El Salam Hotel
505,Mirnyy,79.83,overcast clouds,62.5353,113.9611,квартира
508,Bonfim,72.54,overcast clouds,3.0833,-59.95,
513,West Odessa,76.48,clear sky,31.8424,-102.4988,Corporate Mobile Housing
514,Kattivakkam,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
515,Wilmington Island,82.44,broken clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
516,Ballina,68.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
517,Hounde,71.56,few clouds,11.5,-3.5167,Carrefour où ouvriers dorment
518,Portland,82.6,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
519,Piacabucu,72.28,few clouds,-10.4056,-36.4344,Piaçabuçu News
520,Bongandanga,70.39,overcast clouds,1.5,21.05,
521,Kachug,77.36,scattered clouds,53.9606,105.8817,"The hotel ""Empire"""
523,Subang,81.97,broken clouds,-7.1277,108.5283,TPU BAGUS JAYA NGOHOL
524,Buraydah,81.05,clear sky,26.326,43.975,فندق راحة السلام
525,Puerto Escondido,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
528,Freeport,70.38,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
530,Kemin,82.67,broken clouds,42.7846,75.6892,Hotel Kok-Oirok
531,Salinopolis,76.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
535,Lorengau,85.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
536,Naze,85.12,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
538,Bosaso,89.11,broken clouds,11.2842,49.1816,Red Sea Hotel
539,Hohhot,75.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
540,Samarai,79.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
543,Sakakah,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
545,The Valley,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
546,Hami,80.44,clear sky,42.8,93.45,Laoyutang Resort
547,Penhold,78.6,light rain,52.1334,-113.8687,Harvard Park Business Ctr Ltd
548,Cheremshanka,67.98,overcast clouds,56.1192,60.268,Country house Zaozernoe
550,Kinshasa,68.38,overcast clouds,-4.3246,15.3215,Flat Hotel Alhdeef
551,Omboue,73.63,broken clouds,-1.5746,9.2618,Hotel Olako
553,Acapulco,80.76,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
554,Filingue,82.44,broken clouds,14.3521,3.3168,
555,West Wendover,74.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
556,Nizhnyaya Maktama,75.76,scattered clouds,54.8636,52.4281,K.tsetkin Dom 4
557,Floriano,74.93,overcast clouds,-6.7669,-43.0225,Hotel Maktub
558,Kousseri,75.16,broken clouds,12.0769,15.0306,Le Pilotis
560,Dzerzhinskoye,73.49,broken clouds,56.8344,95.2283,Kolos
561,Angoche,65.64,clear sky,-16.2325,39.9086,Guest House HESADA
563,Panorama,78.42,clear sky,40.5878,23.0315,Panorama Hotel
564,Ranau,79.45,overcast clouds,5.9538,116.6641,The Second Room
565,Dauriya,78.37,clear sky,49.9333,116.8667,
566,Ternate,84.34,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
567,Narrabri,74.52,clear sky,-30.3167,149.7833,Crossroads Hotel
569,Belokurikha,83.05,broken clouds,51.9959,84.9896,Neo Hotel
